SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0100-NB5686,82713440.0,1.0,15.811758,13.243251,404.35,1309.77,NB5686,Q0100,26.83,-0.02,1.83,yes,2.7371,-2.0,-1.0,GAL,N3;  strong Lya em w/hintof vel structure,Q0100-NB5686,2.7371,,,,,,,,,,,
Q0100-NB6571,697675780.0,13.0,15.853682,13.230524,185.7,2005.67,NB6571,Q0100,24.89,0.52,0.55,yes,2.766,-2.0,-1.0,GAL,N1;  nothing obvious; but N3is tentative ID,Q0100-NB6571,2.766,,,,,,,,,,,
Q0100-NB872,3277740800.0,8.0,15.74796,13.272882,908.4,251.52,NB872,Q0100,25.49,0.14,2.52,yes,2.7204,-2.0,-1.0,GAL,"N4;  double Lya em, 2.7160/2.7248",Q0100-NB872,2.7204,,,,,,,,,,,
Q0105-BX100,88249246000.0,35.0,17.0839,16.54895,43.41,1999.89,BX100,Q0105,23.35,0.33,0.95,yes,2.259,2.254,-1.0,GAL,m3[ap1],Q0105-BX100,2.254,,,,,,,,,,,
Q0105-BX101,9506462700.0,3.0,17.08032,16.62699,1369.47,1943.6,BX101,Q0105,25.47,0.28,0.79,yes,2.167,2.166,2.1622,GAL,"zneb msfr hphk1H,K; N5; prob corr",Q0105-BX101,2.1622,,,,,,,,,,,
Q0105-BX102,925701760.0,11.0,17.07775,16.54913,46.64,1899.53,BX102,Q0105,24.88,0.05,0.81,yes,2.359,2.355,-1.0,GAL,m1+m5*,Q0105-BX102,2.355,,,,,,,,,,,
Q0105-BX103,4401365000.0,6.0,17.07934,16.62476,1331.61,1927.55,BX103,Q0105,24.54,0.51,1.39,yes,2.712,2.712,-1.0,GAL,m6,Q0105-BX103,2.712,,,,,,,,,,,
Q0105-BX106,9059483600.0,5.0,17.07356,16.56708,351.74,1831.66,BX106,Q0105,24.31,0.08,0.65,yes,2.36,2.355,2.3566,GAL,"m2,m3,m9 give same z; strong exc fine str; zneb msfr_JHK",Q0105-BX106,2.3566,,,,,,,,,,,
Q0105-BX107,1499941800.0,14.0,17.07562,16.61716,1202.58,1866.66,BX107,Q0105,25.4,0.19,0.95,yes,-2.0,2.217,-2.0,GAL,m4;  hiprij1_J,Q0105-BX107,2.217,,,,,,,,,,,
Q0105-BX108,40696676000.0,32.0,17.07416,16.61126,1102.38,1842.68,BX108,Q0105,23.41,0.62,1.48,yes,-2.0,2.2938,-1.0,GAL,nz;  m2[ap2]; [ap1] is a star,Q0105-BX108,2.2938,,,,,,,,,,,
Q0105-BX11,29188184000.0,11.0,16.97131,16.58146,599.39,163.78,BX11,Q0105,24.43,0.66,1.48,yes,-2.0,2.362,-1.0,GAL,m4+m6,Q0105-BX11,2.362,,,,,,,,,,,
Q0105-BX113,13319998000.0,5.0,17.06946,16.62481,1332.74,1766.39,BX113,Q0105,24.72,0.35,0.92,yes,-2.0,2.1205,2.124,GAL,"msfr2, 9/13; nz; m4; has xtra emission 4791.4A",Q0105-BX113,2.124,,,,,,,,,,,
Q0105-BX119,6548200400.0,26.0,17.06757,16.59743,867.58,1734.78,BX119,Q0105,24.73,0.41,1.12,yes,-2.0,2.455,2.4559,GAL,"zneb msfr_JHK sep15; nz; m5+m6; xtra abs, maybe z=2.344",Q0105-BX119,2.4559,,,,,,,,,,,
Q0105-BX124,12313321000.0,4.0,17.05811,16.60155,937.86,1580.57,BX124,Q0105,25.4,0.3,1.21,yes,-2.0,-2.0,2.1513,GAL,"nz;  m1; z uncertain, near z=2.0; zneb msfr 2014",Q0105-BX124,2.1513,,,,,,,,,,,
Q0105-BX125,8255242200.0,16.0,17.06278,16.61446,1157.08,1657.13,BX125,Q0105,24.47,0.41,0.74,yes,-2.0,-2.0,2.5729,GAL,m7;  msfr hiprij1_J,Q0105-BX125,2.5729,,,,,,,,,,,
Q0105-BX128,6935836200.0,2.0,17.06019,16.56216,268.53,1613.36,BX128,Q0105,25.41,0.21,0.88,yes,-2.0,2.479,-1.0,GAL,nz;  m3,Q0105-BX128,2.479,,,,,,,,,,,
Q0105-BX129,13188585000.0,13.0,17.05968,16.62419,1322.49,1606.84,BX129,Q0105,24.06,0.46,0.81,yes,-2.0,2.29,2.2879,GAL,"msfr2, 9/13; nz; m4+m5",Q0105-BX129,2.2879,,,,,,,,,,,
Q0105-BX132,26356720000.0,10.0,17.05924,16.55143,86.25,1597.55,BX132,Q0105,24.91,0.26,0.82,yes,-2.0,2.209,2.2115,GAL,m5;  xtra abs,Q0105-BX132,2.2115,,,,,,,,,,,
Q0105-BX133,8287666200.0,8.0,17.05865,16.55801,198.07,1588.11,BX133,Q0105,25.31,0.03,0.94,yes,2.4864,-2.0,-1.0,GAL,nz;  m5; strong Lya em,Q0105-BX133,2.4864,,,,,,,,,,,
Q0105-BX136,2348550400.0,46.0,17.05701,16.59683,857.7,1562.48,BX136,Q0105,23.89,0.28,0.58,yes,-2.0,2.487,-2.0,GAL,msfr_JHK+others; m4+m5+N1; still a bit ambiguous,Q0105-BX136,2.487,,,,,,,,,,,
Q0105-BX137,13436718000.0,5.0,17.05727,16.56318,285.95,1565.74,BX137,Q0105,24.36,0.49,0.92,yes,-2.0,-2.0,2.2109,GAL,,Q0105-BX137,2.2109,,,,,,,,,,,
Q0105-BX138,5384807900.0,8.0,17.05628,16.55504,147.67,1549.35,BX138,Q0105,24.8,0.52,0.77,yes,2.288,-2.0,-1.0,GAL,m1,Q0105-BX138,2.288,,,,,,,,,,,
Q0105-BX145,25496429000.0,10.0,17.05521,16.55726,185.43,1531.95,BX145,Q0105,25.47,0.36,1.24,yes,-2.0,2.482,-1.0,GAL,m9[ap2]+m5; m9[ap1] is BX145b,Q0105-BX145,2.482,,,,,,,,,,,
Q0105-BX147,4201861900.0,3.0,17.0529,16.59098,758.42,1495.26,BX147,Q0105,25.17,0.07,0.67,yes,2.3916,2.385,2.3857,GAL,"msfr2, 9/13; nz; m7",Q0105-BX147,2.3857,,,,,,,,,,,
Q0105-BX148,7119008800.0,35.0,17.05094,16.59871,889.82,1463.51,BX148,Q0105,23.85,0.34,0.98,yes,2.3682,2.3595,-1.0,GAL,nz;  m2[1]; [ap2] is Lya em at 2.3612,Q0105-BX148,2.3595,,,,,,,,,,,
Q0105-BX153,7451211300.0,7.0,17.05399,16.54685,8.59,1511.74,BX153,Q0105,24.44,0.43,0.75,yes,-2.0,2.468,-1.0,GAL,m3,Q0105-BX153,2.468,,,,,,,,,,,
Q0105-BX159,34758312000.0,27.0,17.05005,16.59484,824.1,1448.88,BX159,Q0105,23.29,0.46,1.07,yes,2.13,2.121,2.1253,GAL,zneb msfr_JHK Sep15; nz; m1,Q0105-BX159,2.1253,,,,,,,,,,,
Q0105-BX160,5796289500.0,11.0,17.04945,16.58445,647.58,1438.78,BX160,Q0105,23.78,0.13,0.47,yes,2.0243,2.0169,2.0201,GAL,zneb msf2_H sep15; nz; m1,Q0105-BX160,2.0201,,,,,,,,,,,
Q0105-BX162,12118252000.0,3.0,17.04658,16.6082,1051.2,1392.67,BX162,Q0105,24.97,0.26,0.82,yes,-2.0,-2.0,2.0285,GAL,"msfr2, 9/13; nz; m6[ap2]+m9[ap2]; same slit as BX165 in both cases",Q0105-BX162,2.0285,,,,,,,,,,,
Q0105-BX163,9688084500.0,3.0,17.04623,16.61509,1168.28,1387.17,BX163,Q0105,24.86,0.18,0.46,yes,-2.0,-2.0,2.2912,GAL,,Q0105-BX163,2.2912,,,,,,,,,,,
Q0105-BX166,6442216400.0,6.0,17.04304,16.59153,768.07,1334.41,BX166,Q0105,24.56,0.16,0.75,yes,2.2717,2.267,-1.0,GAL,"nz;  m4[ap1];also ap1 on D15's slit, m2",Q0105-BX166,2.267,,,,,,,,,,,
Q0105-BX167,2793056800.0,7.0,17.04688,16.59725,865.14,1397.23,BX167,Q0105,24.4,0.06,0.42,yes,2.2744,2.269,2.271,GAL,zneb msfr_JHK sep15; nz; m1+m6; nice,Q0105-BX167,2.271,,,,,,,,,,,
Q0105-BX169,45064974000.0,17.0,17.08085,16.60669,1024.54,1951.69,BX169,Q0105,24.05,0.31,0.94,yes,2.299,2.289,-1.0,GAL,m2[ap1]; [ap2] is BX189 z=2.294,Q0105-BX169,2.289,,,,,,,,,,,
Q0105-BX171,8760329200.0,8.0,17.04305,16.57701,521.36,1334.13,BX171,Q0105,23.85,0.07,0.47,yes,2.0395,2.034,-1.0,GAL,nz;  m3; nice spec,Q0105-BX171,2.034,,,,,,,,,,,
Q0105-BX172,2335320300.0,2.0,17.04146,16.59303,793.61,1308.68,BX172,Q0105,25.34,0.25,0.77,yes,2.272,2.281,2.2669,GAL,zneb msfr_JHK sep15,Q0105-BX172,2.2669,,,,,,,,,,,
Q0105-BX18,15930841000.0,6.0,16.97571,16.55888,215.58,234.76,BX18,Q0105,24.83,0.34,1.08,yes,-2.0,2.203,-1.0,GAL,m7;  prob correct,Q0105-BX18,2.203,,,,,,,,,,,
Q0105-BX180,1231497900.0,9.0,17.03457,16.59951,903.92,1196.47,BX180,Q0105,24.95,0.32,0.76,yes,-2.0,-2.0,2.0296,GAL,"msfr2.ws, 9/13; also msfr_JHK 9/15; nz; not v. precies z; m3",Q0105-BX180,2.0296,,,,,,,,,,,
Q0105-BX181,10875469000.0,10.0,17.03267,16.57518,490.59,1164.71,BX181,Q0105,24.62,0.23,0.97,yes,-2.0,2.265,2.2663,GAL,zneb msfr_JHK 9/15; nz; m4,Q0105-BX181,2.2663,,,,,,,,,,,
Q0105-BX183,11630743000.0,5.0,17.02829,16.59721,865.04,1093.95,BX183,Q0105,24.57,0.25,0.88,yes,-2.0,2.653,-1.0,GAL,"m3,m7; also has zabs=2.720?",Q0105-BX183,2.653,,,,,,,,,,,
Q0105-BX184,1095436200.0,8.0,17.08559,16.58709,691.39,2028.49,BX184,Q0105,25.41,0.12,0.79,yes,-2.0,2.293,-1.0,GAL,m5,Q0105-BX184,2.293,,,,,,,,,,,
Q0105-BX186,19242263000.0,7.0,17.08661,16.57304,452.64,2044.75,BX186,Q0105,25.11,-0.04,0.91,yes,-2.0,-2.0,2.2001,GAL,"m9;  z is zneb, mosfire oct 2012",Q0105-BX186,2.2001,,,,,,,,,,,
Q0105-BX187,2064864000.0,10.0,17.08633,16.57705,520.78,2040.29,BX187,Q0105,24.82,0.07,0.84,yes,-2.0,2.198,-1.0,GAL,m6,Q0105-BX187,2.198,,,,,,,,,,,
