SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0449-BX145,12833349000.0,8.0,73.08765,-16.71316,79.9159,1396.68,BX145,Q0449,24.12,,0.69,yes,-2.0,1.595,-1.0,GAL,nz; m1,Q0449-BX145,1.595,0.36,,,,,,,,,,
Q0449-BX147,8274594800.0,20.0,73.08829,-16.6546,1077.728,1405.197,BX147,Q0449,24.14,,0.83,yes,-2.0,2.259,2.261,GAL,zneb msfr jhk1 oct15; nz; m2,Q0449-BX147,2.261,0.31,,,,,,,,,,
Q0449-BX149,4488700900.0,11.0,73.09023,-16.63895,1344.441,1436.341,BX149,Q0449,24.68,,0.7,yes,2.2637,2.258,2.2595,GAL,Q0449plus2_H; lz; m4,Q0449-BX149,2.2595,0.22,,,,,,,,,,
Q0449-BX15,22148452000.0,17.0,73.01471,-16.70784,168.2749,206.6938,BX15,Q0449,23.42,,0.82,yes,-2.0,2.089,2.0912,GAL,"plus1K,H; m10",Q0449-BX15,2.0912,0.11,,,,,,,,,,
Q0449-BX155,2380765700.0,15.0,73.09448,-16.66038,979.4175,1506.385,BX155,Q0449,24.6,,0.72,yes,-2.0,2.3336,-1.0,GAL,m4+m7+m12,Q0449-BX155,2.3336,0.34,,,,,,,,,,
Q0449-BX158,1543914200.0,3.0,73.09651,-16.64504,1240.85,1539.014,BX158,Q0449,25.49,,0.42,yes,-2.0,2.38,2.3786,GAL,nz; m6; close to BX159; zneb mosfire nov13,Q0449-BX158,2.3786,0.17,,,,,,,,,,
Q0449-BX159,2587830000.0,32.0,73.09623,-16.64385,1261.118,1534.407,BX159,Q0449,24.62,,0.97,yes,-2.0,2.376,2.3798,GAL,Q0449plus2_H;nz; m4; close to BX158,Q0449-BX159,2.3798,0.29,,,,,,,,,,
Q0449-BX160,6872732700.0,2.0,73.09948,-16.67369,752.7688,1588.39,BX160,Q0449,25.14,,0.69,yes,-1.0,-1.0,1.6555,GAL,zneb hiprij1_J; also hp3_H 2/15,Q0449-BX160,1.6555,0.28,,,,,,,,,,
Q0449-BX161,2148814300.0,27.0,73.09497,-16.66908,831.1933,1514.66,BX161,Q0449,23.68,,0.45,yes,-2.0,1.8001,-1.0,GAL,"nz; m7; CIII] em z=1.799; xtra abs, poss. z=1.495",Q0449-BX161,1.8001,0.2,,,,,,,,,,
Q0449-BX165,11524815000.0,14.0,73.10224,-16.67065,804.6422,1633.324,BX165,Q0449,24.56,,0.48,yes,2.3609,-2.0,2.3554,GAL,m12; zneb mosfire nov 13; also hp2_H 2/15,Q0449-BX165,2.3554,0.1,,,,,,,,,,
Q0449-BX167,9753364500.0,9.0,73.10262,-16.65432,1082.897,1639.007,BX167,Q0449,24.02,,0.87,yes,2.361,2.354,2.3557,GAL,zneb msfr jhk1 oct15; nz; m2; Lya is double,Q0449-BX167,2.3557,0.39,,,,,,,,,,
Q0449-BX168,3886126100.0,15.0,73.10146,-16.63561,1401.662,1619.487,BX168,Q0449,24.03,,0.63,yes,2.332,2.329,-1.0,GAL,,Q0449-BX168,2.329,0.15,,,,,,,,,,
Q0449-BX17,5221540400.0,8.0,73.01995,-16.65975,987.8508,290.3113,BX17,Q0449,24.18,,0.88,yes,2.4,2.3951,2.3963,GAL,plus2_H;nz; m2,Q0449-BX17,2.3963,0.17,,,,,,,,,,
Q0449-BX171,4858682900.0,7.0,73.10405,-16.68239,604.6554,1663.224,BX171,Q0449,24.14,,0.75,yes,2.305,2.3,2.3011,GAL,"rk_J,H,K; zneb msfr jhk1 oct15; nz; m7+m10; xtra abs near 5400",Q0449-BX171,2.3011,0.22,,,,,,,,,,
Q0449-BX173,34914091000.0,55.0,73.10413,-16.64018,1323.867,1663.201,BX173,Q0449,24.62,,0.85,yes,-2.0,2.661,-1.0,GAL,,Q0449-BX173,2.661,0.3,,,,,,,,,,
