group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
Primary,GNB5352,50,50,150,50,^GNB,0,2.8476,True,,,237.9841875,19.1657342,15:51:56.205,+19:09:56.643,point,cross,cyan,'GNB5352',2.8476 LyC leaker lae4680 in Mostardi+13,point=cross 14 color=cyan width=2 text={'GNB5352'} comment={2.8476 LyC leaker lae4680 in Mostardi+13},61
Primary,NB3147,50,50,150,50,^NB,0,2.8290,True,,,238.0091292,19.1801022,15:52:02.191,+19:10:48.368,point,cross,cyan,'NB3147',2.8290 LyC leaker lae7832 in Mostardi+13,point=cross 14 color=cyan width=2 text={'NB3147'} comment={2.8290 LyC leaker lae7832 in Mostardi+13},62
Primary,GNB1687,50,50,150,50,^GNB,0,2.8508,True,,,237.9484583,19.1668250,15:51:47.630,+19:10:00.570,circle,,green,GNB1687,2.8508 LyC leaker lae2292 in Mostardi+13,color=green width=2 text={GNB1687} comment={2.8508 LyC leaker lae2292 in Mostardi+13},63
Primary,GNB2100,50,50,150,50,^GNB,0,2.8414,True,,,237.9582917,19.1782056,15:51:49.990,+19:10:41.540,circle,,green,GNB2100,2.8414 LyC leaker lae2966 in Mostardi+13,color=green width=2 text={GNB2100} comment={2.8414 LyC leaker lae2966 in Mostardi+13},64
Primary,GNB3532,50,50,150,50,^GNB,0,2.8325,True,,,238.0265833,19.1784278,15:52:06.380,+19:10:42.340,circle,,green,GNB3532,2.8325 LyC leaker lae6662 in Mostardi+13,color=green width=2 text={GNB3532} comment={2.8325 LyC leaker lae6662 in Mostardi+13},65
Primary,GNB5270,50,50,150,50,^GNB,0,2.8473,True,,,237.9890417,19.1648028,15:51:57.370,+19:09:53.290,circle,,green,GNB5270,2.8473,color=green width=2 text={GNB5270}  comment={2.8473},66
Primary,GNB1007,25,50,150,50,^GNB,1,2.8449,False,,,237.9353333,19.1965417,15:51:44.480,+19:11:47.550,circle,,green,GNB1007,2.8449,color=green width=2 text={GNB1007} comment={2.8449},67
Primary,GNB1062,50,50,150,50,^GNB,0,2.8383,True,,,237.9362500,19.1458528,15:51:44.700,+19:08:45.070,circle,,green,GNB1062,2.83829,color=green width=2 text={GNB1062} comment={2.83829},68
Primary,GNB1062,50,50,150,50,^GNB,0,2.8414,True,,,237.9362500,19.1458528,15:51:44.700,+19:08:45.070,circle,,green,GNB1062,2.84142,color=green width=2 text={GNB1062} comment={2.84142},69
Primary,GNB1071,50,50,150,50,^GNB,0,2.8465,True,,,237.9361250,19.1568833,15:51:44.670,+19:09:24.780,circle,,green,GNB1071,2.8465,color=green width=2 text={GNB1071} comment={2.8465},70
