name,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
LAE1419,238.0700625,19.1426133,15:52:16.815,+19:08:33.408,point,cross,cyan,'LAE1419',,point=cross 14 color=cyan width=2 text={'LAE1419'},139
LAE1420,238.0911500,19.1435933,15:52:21.876,+19:08:36.936,point,cross,cyan,'LAE1420',,point=cross 14 color=cyan width=2 text={'LAE1420'},140
LAE1422,238.0915125,19.1434439,15:52:21.963,+19:08:36.398,point,cross,cyan,'LAE1422',,point=cross 14 color=cyan width=2 text={'LAE1422'},141
LAE1425,237.8268333,19.1442947,15:51:18.440,+19:08:39.461,point,cross,cyan,'LAE1425',,point=cross 14 color=cyan width=2 text={'LAE1425'},142
LAE1426,238.0607083,19.1403914,15:52:14.570,+19:08:25.409,point,cross,cyan,'LAE1426',,point=cross 14 color=cyan width=2 text={'LAE1426'},143
LAE1427,237.8278750,19.1439914,15:51:18.690,+19:08:38.369,point,cross,cyan,'LAE1427',,point=cross 14 color=cyan width=2 text={'LAE1427'},144
LAE1428,237.9617333,19.1440642,15:51:50.816,+19:08:38.631,point,cross,cyan,'LAE1428',,point=cross 14 color=cyan width=2 text={'LAE1428'},145
LAE1431,237.8318375,19.1458764,15:51:19.641,+19:08:45.155,point,cross,cyan,'LAE1431',,point=cross 14 color=cyan width=2 text={'LAE1431'},146
LAE1434,237.9553667,19.1456386,15:51:49.288,+19:08:44.299,point,cross,cyan,'LAE1434',,point=cross 14 color=cyan width=2 text={'LAE1434'},147
LAE1436,237.9890667,19.1469222,15:51:57.376,+19:08:48.920,point,cross,cyan,'LAE1436',,point=cross 14 color=cyan width=2 text={'LAE1436'},148
LAE1439,237.9920042,19.1469881,15:51:58.081,+19:08:49.157,point,cross,cyan,'LAE1439',,point=cross 14 color=cyan width=2 text={'LAE1439'},149
LAE1441,238.0042708,19.1473167,15:52:01.025,+19:08:50.340,point,cross,cyan,'LAE1441',,point=cross 14 color=cyan width=2 text={'LAE1441'},150
LAE1449,237.9894542,19.1493125,15:51:57.469,+19:08:57.525,point,cross,cyan,'LAE1449',,point=cross 14 color=cyan width=2 text={'LAE1449'},151
LAE1451,238.0120000,19.1496892,15:52:02.880,+19:08:58.881,point,cross,cyan,'LAE1451',,point=cross 14 color=cyan width=2 text={'LAE1451'},152
LAE1453,237.9392542,19.1499275,15:51:45.421,+19:08:59.739,point,cross,cyan,'LAE1453',,point=cross 14 color=cyan width=2 text={'LAE1453'},153
LAE1460,238.1138417,19.1503675,15:52:27.322,+19:09:01.323,point,cross,cyan,'LAE1460',,point=cross 14 color=cyan width=2 text={'LAE1460'},154
LAE1461,237.9102917,19.1511250,15:51:38.470,+19:09:04.050,point,cross,cyan,'LAE1461',,point=cross 14 color=cyan width=2 text={'LAE1461'},155
LAE1462,237.9496750,19.1508764,15:51:47.922,+19:09:03.155,point,cross,cyan,'LAE1462',,point=cross 14 color=cyan width=2 text={'LAE1462'},156
