RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Ude,zlya,zabs,zneb,type,comments,FULL_ID,SED_ID,stellar_mass,z_best
237.93197,19.19862,1083.9,338.7,C3,Q1549,24.81,0.64,2.3,no,2.7554,-2.0,-1.0,GAL,"""nz; mN2; noisy but secure""",Q1549-C3,Q1549-C3,2141739000.0,2.7554
237.93506,19.19022,941.1,388.0,C4,Q1549,25.29,0.22,2.37,no,2.8627,2.857,-1.0,GAL,"""also GNB941; nz; mN1+mN4; called NB706""",Q1549-C4,Q1549-C4,662051200.0,2.857
237.93595,19.18325,822.7,402.0,C5,Q1549,25.46,0.26,2.18,no,3.173,-2.0,3.17,GAL,"""zneb mosfire; nz; m8; strong Lya em.""",Q1549-C5,Q1549-C5,849194560.0,3.17
237.9365,19.1758,696.1,410.5,C6,Q1549,24.32,0.68,2.62,no,-2.0,2.828,-1.0,GAL,"""nz;v. weak em; mult masks (m3,m5,m7)""",Q1549-C6,Q1549-C6,15682951000.0,2.828
237.93853,19.20366,1169.2,444.5,C7,Q1549,24.42,0.78,2.38,no,-2.0,2.841,-1.0,GAL,"""nz; m3+m4""",Q1549-C7,Q1549-C7,1908373900.0,2.841
237.93911,19.14718,210.0,451.3,C8,Q1549,25.05,0.57,2.13,no,-2.0,2.935,2.9373,GAL,"""L2; msfr m1 5/16; nz; m6, L2; z from L2""",Q1549-C8,Q1549-C8,6329844700.0,2.9373
237.94461,19.19789,1070.9,542.1,C9,Q1549,23.55,0.99,2.71,no,2.9252,2.9188,-1.0,GAL,"""L2; nz; m1,m3,m4,m8,L2;v. strong abs @2.842""",Q1549-C9,Q1549-C9,12100881000.0,2.9188
237.92265,19.14026,93.2,185.9,D1,Q1549,24.94,0.32,2.15,yes,2.386,2.382,-1.0,GAL,"""m2,m8; z from m2""",Q1549-D1,Q1549-D1,947548540.0,2.382
237.95614,19.17805,733.5,726.9,D10,Q1549,23.38,0.28,2.06,yes,2.922,-2.0,-2.0,QSO,"""L2; has floater on m3; strong DLA @2.842; mult masks (3)""",Q1549-D10,Q1549-D10,45045080000.0,2.922
237.95735,19.15082,271.0,745.1,D11,Q1549,23.75,0.32,1.83,yes,-2.0,2.837,-1.0,GAL,"""nz; m4""",Q1549-D11,Q1549-D11,7176792600.0,2.837
237.95922,19.13773,48.6,774.7,D12,Q1549,23.62,0.4,1.91,yes,-2.0,2.732,-2.0,GAL,"""msfr 5/2014; nz; m2+m8; removed z_em 12/29/2010""",Q1549-D12,Q1549-D12,8062001200.0,2.732
237.96546,19.17103,613.9,876.6,D13,Q1549,24.25,0.66,2.34,yes,2.852,2.842,-1.0,GAL,"""nz; m3; add. em feature at 4127A (z=2.396)""",Q1549-D13,Q1549-D13,10421650000.0,2.842
237.96866,19.18651,876.6,928.8,D15,Q1549,24.84,0.01,1.56,yes,2.6973,2.6887,2.6923,GAL,"""msfr, 5/2014, has Hdelta; nz; m1,m6 double Lya em; center at z=2.6931""",Q1549-D15,Q1549-D15,11126091000.0,2.6923
237.97854,19.19199,969.3,1088.1,D16,Q1549,24.05,0.54,2.48,yes,3.139,3.13,3.134,GAL,"""L2; msfr m1 5/16; mult masks""",Q1549-D16,Q1549-D16,7914825700.0,3.134
237.98934,19.18401,833.3,1261.7,D17,Q1549,24.93,0.35,2.06,yes,2.841,2.825,-1.0,GAL,"""nz; m5; z corrected 12/23/2010; also GNB5274;  """,Q1549-D17,Q1549-D17,503364740.0,2.825
237.99874,19.16092,440.8,1412.1,D18,Q1549,24.85,0.18,2.15,yes,2.85,-2.0,-1.0,GAL,"""also GNB4866; nz; m4; Lya em double 2.8414/2.8497; int system z=2.380""",Q1549-D18,Q1549-D18,1507469800.0,2.85
238.00112,19.1613,447.2,1450.4,D19,Q1549,25.27,0.39,1.94,yes,2.8471,2.844,-1.0,GAL,"""also GNB4601; nz; m6,m8; strong Lya em""",Q1549-D19,Q1549-D19,8589131800.0,2.844
238.00202,19.17432,668.3,1465.4,D20,Q1549,24.06,0.56,2.4,yes,-2.0,2.8254,-1.0,GAL,"""nz; m2+m3+m4; strong Lya abs""",Q1549-D20,Q1549-D20,4124766700.0,2.8254
238.0156,19.15679,370.0,1683.4,D23,Q1549,24.67,0.29,2.62,yes,2.902,2.893,-1.0,GAL,"""mN3""",Q1549-D23,Q1549-D23,3448375800.0,2.893
238.02199,19.16256,467.8,1786.5,D24,Q1549,24.75,0.25,2.14,yes,2.951,2.942,-1.0,GAL,"""noz3[ap2]""",Q1549-D24,Q1549-D24,6128125400.0,2.942
238.03332,19.14884,234.4,1968.4,D25,Q1549,24.54,0.7,2.37,yes,-2.0,2.825,-2.0,GAL,"""L2; msfr m1 5/16; mL2""",Q1549-D25,Q1549-D25,10391155000.0,2.825
238.03388,19.19646,1043.1,1979.2,D26,Q1549,24.4,0.36,1.86,yes,2.764,2.755,-1.0,GAL,"""""",Q1549-D26,Q1549-D26,4752565200.0,2.755
238.03465,19.16357,484.5,1990.4,D27,Q1549,24.0,0.45,2.1,yes,2.816,2.814,-1.0,GAL,"""m2,m5,m7""",Q1549-D27,Q1549-D27,22928325000.0,2.814
237.93214,19.15345,316.8,339.3,D3,Q1549,24.22,0.3,1.87,yes,2.9422,2.9342,2.9373,GAL,"""L2; msfr m1; nz; m1,m3,m4,m8,L2; int abs @2.791, 2.741, 2.805 (all Lya+CIV) """,Q1549-D3,Q1549-D3,14692223000.0,2.9373
237.93325,19.19436,1011.5,359.1,D4,Q1549,24.39,0.46,2.34,yes,2.8634,2.856,-1.0,GAL,"""also GNB822; nz; m4(ap1),m5,m7; extra emission @4620A""",Q1549-D4,Q1549-D4,3211133200.0,2.856
237.934,19.18025,771.8,370.5,D5,Q1549,25.42,0.28,2.11,yes,3.0169,-1.0,3.0131,GAL,"""N3[ap2] (BX30 slit); nebz from msfr2+msfr5""",Q1549-D5,Q1549-D5,2686411800.0,3.0131
237.9383,19.15146,282.7,438.4,D6,Q1549,24.7,0.58,2.19,yes,2.8485,2.84,-1.0,GAL,"""nz; m3""",Q1549-D6,Q1549-D6,7506244100.0,2.84
237.9427,19.16392,494.1,509.8,D7,Q1549,24.31,0.68,2.54,yes,2.9425,2.9322,2.9362,GAL,"""L2; msfr m1 5/16; nz; m1,m3,m5,m8,L2""",Q1549-D7,Q1549-D7,8663647200.0,2.9362
237.94921,19.13727,41.2,613.5,D9,Q1549,24.47,0.54,2.4,yes,2.849,2.844,-1.0,GAL,"""mult. masks;SiIV has diff. velocity""",Q1549-D9,Q1549-D9,1584651100.0,2.844
237.99192,19.207199,1227.0,1305.0,GNB4950,Q1549,20.15,1.06,1.95,yes,2.8536,2.8536,1.0,QSO,"GNB4950 red QSO""",Q1549-GNB4950,Q1549-GNB4950,29631980000.0,1.0
237.96366,19.18492,849.8,848.2,M15,Q1549,24.52,0.91,2.06,no,2.845,-2.0,-1.0,AGN,"""aka NB1614 on mask N1; appears to have broad CIV, see M15.br.fits in spec dir; GNB2254""",Q1549-M15,Q1549-M15,73242624000.0,2.845
237.97358,19.15808,393.6,1006.8,M16,Q1549,25.24,0.63,1.77,no,2.955,2.953,-2.0,GAL,"""msfr 5/2014; nz; noz1""",Q1549-M16,Q1549-M16,28085895000.0,2.953
237.98352,19.2146,1353.0,1170.0,M17,Q1549,25.3,0.66,2.3,no,3.2253,3.222,-1.0,GAL,"""on q1549-BX102 kcwi cube; strong Lya emission; possible add'l emission 4591 A --> 2.7766 if real, or 1086 if assoc. with M1",Q1549-M17,Q1549-M17,2235412700.0,3.222
237.92227,19.16832,569.8,181.1,M2,Q1549,25.03,0.64,2.06,no,2.875,2.867,-1.0,GAL,"""also GNB446; nz; m6; abs z uncertain, from SiIV""",Q1549-M2,Q1549-M2,590693890.0,2.867
