ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave,config,group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments_x,attrs_raw,order_in_file,SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Udet,zlya,zabs,zneb,type,comments_y,FULL_ID,NBmag,NBcol,Comments,z_best
184,237.9331667,19.1839639,Primary,-0.01064,-0.029106,257.9945,237.95343363,19.19578389,449.4783,-467.5288,1,306,63,0.75,0.786,-1.0,2.04894948,2.21299481,-2.0,c2e1n1,Primary,GNB669,25,50,150,50.0,^GNB,1,2.8388,False,,,237.927,19.1762167,15:51:42.480,+19:10:34.380,circle,,green,GNB669,2.8388,color=green width=2 text={GNB669} comment={2.8388},184,Q1549-GNB669,1164673300.0,1.0,237.9270346,19.1761886,703.23,258.21,GNB669,Q1549,,,,,2.8388,-1.0,,,,Q1549-GNB669,24.19,1.72,GNB669 24.1943 1.7194 2.8388 NB470 24.4217 1.3436 nb510 24.1150 1.5005 2.8388,2.8388
185,237.9343333,19.2154278,Primary,0.032329,-0.018606,257.9945,237.95343363,19.19578389,348.8536,-519.7054,3,265,115,0.639,0.358,-1.0,-2.0,-2.0,-2.0,c2e1n1,Primary,GNB699,50,50,150,50.0,^GNB,0,2.8633,True,,,237.92925,19.1778028,15:51:43.020,+19:10:40.090,circle,,green,GNB699,2.8633,color=green width=2 text={GNB699} comment={2.8633},185,,,,,,,,,,,,,,,,,,,,,,,
186,237.9343333,19.2154278,Contaminant,0.032329,-0.018606,257.9945,237.95343363,19.19578389,348.8536,-519.7054,3,265,115,0.639,0.358,-1.0,-2.0,-2.0,-2.0,c2e1n1,Primary,GNB709,25,50,150,50.0,^GNB,1,2.8466,False,,,237.9279167,19.2160333,15:51:42.700,+19:12:57.720,circle,,green,GNB709,2.8466,color=green width=2 text={GNB709} comment={2.8466},186,,,,,,,,,,,,,,,,,,,,,,,
207,237.94157,19.20823,Filler,0.020455,-0.011511,257.9945,237.95343363,19.19578389,359.3437,-485.547,3,152,150,0.522,0.197,-1.0,2.8887763,3.05308867,-2.0,c2e1n1,Primary,DRG3,100,100,150,100.0,^DRG,0,,True,,,237.923782,19.212986,15:51:41.708,+19:12:46.750,circle,,magenta,DRG3 FSzP987,,color=magenta width=2 text={DRG3 FSzP987},207,,,,,,,,,,,,,,,,,,,,,,,
216,237.98033,19.20542,Filler,0.005898,0.037508,257.9945,237.95343363,19.19578389,303.4201,-365.7952,4,13,150,0.764,0.207,-1.0,2.55422473,2.71903443,-2.0,c2e1n1,Primary,DRG33,100,100,150,100.0,^DRG,0,,True,,,237.971436,19.185369,15:51:53.145,+19:11:07.328,circle,,magenta,DRG33 FSzP623,,color=magenta width=2 text={DRG33 FSzP623},216,,,,,,,,,,,,,,,,,,,,,,,
330,237.94157,19.20823,Contaminant,0.020455,-0.011511,257.9945,237.95343363,19.19578389,359.3437,-485.547,3,152,150,0.522,0.197,-1.0,2.8887763,3.05308867,-2.0,c2e1n1,Filler,BX156,1,1,1,,,0,1.6655,True,,,238.00512,19.17761,15:52:01.229,+19:10:39.396,circle,,red,BX156,1.6655,color=red  width=2 text={BX156} comment={1.6655},99,Q1549-BX156,5895167000.0,7.0,238.00512,19.17761,724.0673,1515.512,BX156,Q1549,24.38,0.2,0.7,yes,-2.0,-2.0,1.6655,GAL,"nz; mosfire neb redshift, prev. was incorrect",Q1549-BX156,,,,1.6655
401,237.9427083,19.1754167,Filler,-0.025062,-0.019418,257.9945,237.95343363,19.19578389,460.3486,-424.1529,1,169,111,0.333,0.354,-1.0,-1.0,1.84499419,-2.0,c2e1n1,Filler,GNB1339,5,10,1,10.0,^GNB,1,,False,,,237.9404583,19.2095722,15:51:45.710,+19:12:34.460,circle,,red,GNB1339,,color=red width=2 text={GNB1339},170,,,,,,,,,,,,,,,,,,,,,,,
431,237.9551667,19.2190472,Filler,0.031707,0.009017,257.9945,237.95343363,19.19578389,302.7156,-464.4113,4,259,10,0.679,0.229,-1.0,-2.0,-2.0,-2.0,c2e1n1,Filler,GNB1866,5,10,1,10.0,^GNB,1,,False,,,237.9529167,19.2176083,15:51:48.700,+19:13:03.390,circle,,red,GNB1866,,color=red width=2 text={GNB1866},200,,,,,,,,,,,,,,,,,,,,,,,
493,237.9843333,19.1721222,Filler,-0.04143,0.033088,257.9945,237.95343363,19.19578389,401.1434,-295.0361,2,14,128,0.549,0.422,-1.0,-1.0,-1.0,-2.0,c2e1n1,Filler,GNB2817,10,10,1,10.0,^GNB,0,,True,,,237.9721667,19.1667222,15:51:53.320,+19:10:00.200,circle,,red,GNB2817,,color=red width=2 text={GNB2817},262,,,,,,,,,,,,,,,,,,,,,,,
498,237.9733333,19.19345,Filler,-0.008775,0.024959,257.9945,237.95343363,19.19578389,352.643,-365.3412,2,325,88,0.618,0.524,-1.0,2.15345883,2.31816959,-2.0,c2e1n1,Filler,GNB2838,5,10,1,10.0,^GNB,1,,False,,,237.973,19.2136333,15:51:53.520,+19:12:49.080,circle,,red,GNB2838,,color=red width=2 text={GNB2838},267,,,,,,,,,,,,,,,,,,,,,,,
17,237.97374,19.20684,Primary,0.030136,0.01776,257.9984,237.96524529,19.1833875,290.8305,-444.7277,4,244,53,0.696,0.191,-1.0,-2.0,-2.0,-2.0,c3e1n1,Primary,BX14,150,150,150,,,0,2.875,True,,,237.92047,19.2008,15:51:40.913,+19:12:02.880,circle,,blue,BX14,2.875,color=blue  width=2 text={BX14} comment={2.875},18,Q1549-BX14,2627303900.0,5.0,237.92047,19.2008,1121.5091,153.6915,BX14,Q1549,25.25,0.68,1.6,yes,2.8789,-2.0,-1.0,GAL,observed as GNB355,Q1549-BX14,,,,2.8789
19,237.94803,19.17042,Contaminant,-0.01307,-0.02557,257.9984,237.96524529,19.1833875,447.985,-456.4599,1,283,81,0.586,0.154,-1.0,1.98959756,2.15370226,-2.0,c3e1n1,Primary,MD34,150,150,150,,,0,2.851,True,,,238.02637,19.21347,15:52:06.329,+19:12:48.492,circle,,blue,MD34,2.851,color=blue  width=2 text={MD34} comment={2.851},20,Q1549-MD34,19224895000.0,24.0,238.02637,19.21347,1332.2836,1858.993,MD34,Q1549,24.08,0.67,1.96,yes,-2.0,2.849,-1.0,GAL,,Q1549-MD34,,,,2.849
20,237.96134,19.16064,Primary,-0.030266,-0.011408,257.9984,237.96524529,19.1833875,456.4208,-399.7378,1,119,150,0.737,0.695,-1.0,-1.0,1.71443641,-2.0,c3e1n1,Primary,MD7,150,150,150,,,0,2.8517,True,,,237.94803,19.17042,15:51:47.527,+19:10:13.512,circle,,red,MD7,2.8517,color=red  width=2 text={MD7} comment={2.8517},21,Q1549-MD7,681575230.0,3.0,237.94803,19.17042,604.3155,595.9967,MD7,Q1549,25.12,0.27,1.66,yes,2.8571,2.851,2.8517,GAL,mosfire slit also has z=2.8499;nz; m8; wk abs; add. abs @2.239 (DLA),Q1549-MD7,,,,2.8517
27,237.93506,19.19022,Primary,0.017708,-0.036316,257.9984,237.96524529,19.1833875,407.5514,-529.8887,3,126,28,0.406,0.333,-1.0,2.78498697,2.94891214,-2.0,c3e1n1,Primary,C1,150,150,150,,,0,2.8411,True,,,237.91523,19.17797,15:51:39.655,+19:10:40.692,circle,,blue,C1,2.8411,color=blue  width=2 text={C1} comment={2.8411},28,Q1549-C1,2803235800.0,17.0,237.91523,19.17797,734.0282,68.2339,C1,Q1549,24.72,0.46,2.49,no,2.845,-2.0,-1.0,GAL,,Q1549-C1,,,,2.845
32,237.9609,19.15512,Primary,-0.037725,-0.013509,257.9984,237.96524529,19.1833875,474.4661,-391.2784,1,48,140,0.699,0.358,-1.0,-1.0,-1.0,-2.0,c3e1n1,Primary,C13,150,150,150,,,0,2.8393,True,,,237.95704,19.18278,15:51:49.690,+19:10:58.008,circle,,blue,C13,2.8393 in LAB33,color=blue  width=2 text={C13} comment={2.8393 in LAB33},33,Q1549-C13,2239441400.0,2.0,237.95704,19.18278,813.8355,741.6166,C13,Q1549,25.14,0.22,2.27,no,2.8432,-2.0,-1.0,GAL,nz; m8; also GNB1988,Q1549-C13,,,,2.8432
42,237.99874,19.16092,Primary,-0.040516,0.036803,257.9984,237.96524529,19.1833875,393.0491,-289.4544,2,23,146,0.246,0.677,-1.0,-1.0,-1.0,-2.0,c3e1n1,Primary,D17,150,150,150,,,0,2.827,True,,,237.98934,19.18401,15:51:57.442,+19:11:02.436,circle,,blue,D17,2.827,color=blue  width=2 text={D17} comment={2.827},43,Q1549-D17,503364740.0,10.0,237.98934,19.18401,833.3812,1261.704,D17,Q1549,24.93,0.35,2.06,yes,2.841,2.825,-1.0,GAL,nz; m5; z corrected 12/23/2010; also GNB5274;,Q1549-D17,,,,2.825
57,237.9484583,19.166825,Primary,-0.018129,-0.026037,257.9984,237.96524529,19.1833875,458.5437,-448.8339,1,235,78,0.397,0.848,-1.0,1.85624719,2.02034259,-2.0,c3e1n1,Primary,SMGSC2025-1,150,150,150,,,0,2.85,True,,,237.9494167,19.1910944,15:51:47.860,+19:11:27.940,point,circle,yellow,SMGSC2025-1,2.85  SC2025/5.3sig not in L2019; position is ALMA band 6,point=circle 16 color=yellow width=2 text={SMGSC2025-1} comment={2.85  SC2025/5.3sig not in L2019; position is ALMA band 6},58,,,,,,,,,,,,,,,,,,,,,,,
60,237.9890417,19.1648028,Primary,-0.032388,0.025337,257.9984,237.96524529,19.1833875,397.0817,-325.0486,2,100,90,0.696,0.348,-1.0,-1.0,-1.0,-2.0,c3e1n1,Primary,GNB5352,50,50,150,50.0,^GNB,0,2.8476,True,,,237.9841875,19.1657342,15:51:56.205,+19:09:56.643,point,cross,cyan,'GNB5352',2.8476 LyC leaker lae4680 in Mostardi+13,point=cross 14 color=cyan width=2 text={'GNB5352'} comment={2.8476 LyC leaker lae4680 in Mostardi+13},61,,,,,,,,,,,,,,,,,,,,,,,
69,237.9393333,19.1865806,Primary,0.011546,-0.031976,257.9984,237.96524529,19.1833875,411.8289,-510.7965,3,67,49,0.7,0.651,-1.0,2.62835407,2.7923522,-2.0,c3e1n1,Primary,GNB1071,50,50,150,50.0,^GNB,0,2.8465,True,,,237.936125,19.1568833,15:51:44.670,+19:09:24.780,circle,,green,GNB1071,2.8465,color=green width=2 text={GNB1071} comment={2.8465},70,,,,,,,,,,,,,,,,,,,,,,,
74,237.9396667,19.1914583,Primary,0.018158,-0.030156,257.9984,237.96524529,19.1833875,395.975,-518.4339,3,130,58,0.68,0.599,-1.0,2.80417466,2.96820378,-2.0,c3e1n1,Primary,GNB1230,50,50,150,50.0,^GNB,0,2.8401,True,,,237.9393333,19.1865806,15:51:45.440,+19:11:11.690,circle,,green,GNB1230,2.8401,color=green width=2 text={GNB1230} comment={2.8401},75,,,,,,,,,,,,,,,,,,,,,,,
79,237.9458333,19.1841778,Primary,0.00646,-0.02445,257.9984,237.96524529,19.1833875,408.5088,-487.2953,3,19,86,0.245,0.618,-1.0,2.50554466,2.66966534,-2.0,c3e1n1,Primary,GNB1281,50,50,150,50.0,^GNB,0,2.8346,True,,,237.9396667,19.1914583,15:51:45.520,+19:11:29.250,circle,,green,GNB1281,2.83459,color=green width=2 text={GNB1281} comment={2.83459},80,,,,,,,,,,,,,,,,,,,,,,,
81,237.9477917,19.2000694,Primary,0.027807,-0.017385,257.9984,237.96524529,19.1833875,355.4012,-509.5969,3,222,121,0.561,0.352,-1.0,3.07439113,-2.0,-2.0,c3e1n1,Primary,GNB1393,25,50,150,50.0,^GNB,1,2.8446,False,,,237.94375,19.2107222,15:51:46.500,+19:12:38.600,circle,,green,GNB1393,2.8446,color=green width=2 text={GNB1393} comment={2.8446},82,,,,,,,,,,,,,,,,,,,,,,,
83,237.94975,19.1509194,Primary,-0.040303,-0.028822,257.9984,237.96524529,19.1833875,506.2664,-416.8801,1,24,65,0.21,0.118,-1.0,-1.0,-1.0,-2.0,c3e1n1,Primary,GNB1521,50,50,150,50.0,^GNB,0,2.8846,True,,,237.94575,19.1394472,15:51:46.980,+19:08:22.010,circle,,green,GNB1521,2.88461,color=green width=2 text={GNB1521} comment={2.88461},84,,,,,,,,,,,,,,,,,,,,,,,
151,237.9971667,19.1763722,Primary,-0.01865,0.039198,257.9984,237.96524529,19.1833875,347.2274,-321.4532,2,231,158,0.52,0.481,-1.0,1.90250576,2.06732726,-2.0,c3e1n1,Primary,GNB4584,50,50,150,50.0,^GNB,0,2.8531,True,,,238.0032083,19.1814389,15:52:00.770,+19:10:53.180,circle,,green,GNB4584,2.8531,color=green width=2 text={GNB4584} comment={2.8531},152,Q1549-GNB4584,1011884700.0,2.0,238.0031433,19.181482,789.9,1483.84,GNB4584,Q1549,,,,,2.8531,-1.0,,,,Q1549-GNB4584,25.24,73.96,,2.8531
165,237.9840417,19.1990111,Primary,0.01646,0.028759,257.9984,237.96524529,19.1833875,298.1707,-400.3731,4,114,107,0.399,0.226,-1.0,2.82773018,2.99247289,-2.0,c3e1n1,Primary,GNB5318,50,50,150,50.0,^GNB,0,2.8597,True,,,237.9859583,19.2074167,15:51:56.630,+19:12:26.700,circle,,green,GNB5318,2.85968,color=green width=2 text={GNB5318} comment={2.85968},166,,,,,,,,,,,,,,,,,,,,,,,
182,237.9323333,19.194525,Primary,0.024353,-0.038507,257.9984,237.96524529,19.1833875,398.6032,-545.5766,3,189,17,0.712,0.577,-1.0,2.95490599,-2.0,-2.0,c3e1n1,Primary,GNB5831,25,50,150,50.0,^GNB,1,2.8153,False,,,237.9762083,19.1962972,15:51:54.290,+19:11:46.670,circle,,green,GNB5831,2.81526,color=green width=2 text={GNB5831} comment={2.81526},182,Q1549-GNB5831,681296770.0,5.0,237.9762088,19.1963281,1043.12,1050.81,GNB5831,Q1549,,,,,2.8153,-1.0,,,,Q1549-GNB5831,26.37,0.81,,2.8153
188,237.940375,19.1980583,Primary,0.027038,-0.027356,257.9984,237.96524529,19.1833875,374.0938,-528.0064,3,215,72,0.266,0.364,-1.0,3.04182482,-2.0,-2.0,c3e1n1,Primary,GNB859,25,50,150,50.0,^GNB,1,2.8607,False,,,237.9323333,19.194525,15:51:43.760,+19:11:40.290,circle,,green,GNB859,2.8607,color=green width=2 text={GNB859} comment={2.8607},188,,,,,,,,,,,,,,,,,,,,,,,
207,237.94157,19.20823,Filler,0.0407,-0.022883,257.9984,237.96524529,19.1833875,340.1986,-542.4533,3,345,94,0.388,0.354,-1.0,-2.0,-2.0,-2.0,c3e1n1,Primary,DRG3,100,100,150,100.0,^DRG,0,,True,,,237.923782,19.212986,15:51:41.708,+19:12:46.750,circle,,magenta,DRG3 FSzP987,,color=magenta width=2 text={DRG3 FSzP987},207,,,,,,,,,,,,,,,,,,,,,,,
272,237.97374,19.20684,Contaminant,0.030136,0.01776,257.9984,237.96524529,19.1833875,290.8305,-444.7277,4,244,53,0.696,0.191,-1.0,-2.0,-2.0,-2.0,c3e1n1,Filler,RK107,1,1,1,,,0,1.6714,True,,,237.98684,19.19443,15:51:56.842,+19:11:39.948,circle,,magenta,RK107,1.6714,color=magenta  width=2 text={RK107} comment={1.6714},41,Q1549-RK107,30222823000.0,19.0,237.98684,19.19443,1010.4464,1221.884,RK107,Q1549,25.48,0.52,0.49,yes,-1.0,-1.0,1.6714,GAL,msfr slitcor1 5/16,Q1549-RK107,,,,1.6714
273,237.97534,19.19667,Filler,0.015606,0.016839,257.9984,237.96524529,19.1833875,320.0486,-422.0004,4,106,48,0.292,0.65,-1.0,2.79338193,2.9580195,-2.0,c3e1n1,Filler,RK110,1,1,1,,,0,1.5975,True,,,237.94204,19.14848,15:51:46.090,+19:08:54.528,circle,,magenta,RK110,1.5975,color=magenta  width=2 text={RK110} comment={1.5975},42,Q1549-RK110,15034870000.0,7.0,237.94204,19.14848,231.9695,498.548,RK110,Q1549,25.18,0.52,0.42,yes,-1.0,-1.0,1.5975,GAL,zneb msfr 5/2013 close1H,Q1549-RK110,,,,1.5975
282,237.98734,19.18027,Filler,-0.010476,0.027575,257.9984,237.96524529,19.1833875,351.4258,-357.4515,2,309,101,0.407,0.378,-1.0,2.11111164,2.27584457,-2.0,c3e1n1,Filler,BX13,1,1,1,,,0,1.8905,True,,,237.92006,19.16835,15:51:40.814,+19:10:06.060,circle,,blue,BX13,1.8905,color=blue  width=2 text={BX13}  comment={1.8905},51,Q1549-BX13,5815371800.0,7.0,237.92006,19.16835,570.4245,145.5406,BX13,Q1549,24.22,0.16,0.39,yes,-2.0,1.889,-1.0,GAL,nz; m3,Q1549-BX13,,,,1.889
287,237.99248,19.17427,Filler,-0.020247,0.032505,257.9984,237.96524529,19.1833875,361.6508,-331.6141,2,216,125,0.329,0.587,-1.0,1.85533309,2.02010512,-2.0,c3e1n1,Filler,BX27,5,5,5,,,0,2.1256,True,,,237.92932,19.21692,15:51:43.037,+19:13:00.912,circle,,blue,BX27,2.1256,color=blue  width=2 text={BX27} comment={2.1256},56,Q1549-BX27,13297996000.0,13.0,237.92932,19.21692,1394.8703,296.9186,BX27,Q1549,25.15,0.58,1.02,yes,-2.0,2.124,-1.0,GAL,nz; m5[ap2]+m7; has xtra abs for sure,Q1549-BX27,,,,2.124
330,237.94157,19.20823,Contaminant,0.0407,-0.022883,257.9984,237.96524529,19.1833875,340.1986,-542.4533,3,345,94,0.388,0.354,-1.0,-2.0,-2.0,-2.0,c3e1n1,Filler,BX156,1,1,1,,,0,1.6655,True,,,238.00512,19.17761,15:52:01.229,+19:10:39.396,circle,,red,BX156,1.6655,color=red  width=2 text={BX156} comment={1.6655},99,Q1549-BX156,5895167000.0,7.0,238.00512,19.17761,724.0673,1515.512,BX156,Q1549,24.38,0.2,0.7,yes,-2.0,-2.0,1.6655,GAL,"nz; mosfire neb redshift, prev. was incorrect",Q1549-BX156,,,,1.6655
357,237.969009,19.209248,Filler,0.03475,0.012386,257.9984,237.96524529,19.1833875,291.1818,-462.9966,4,288,26,0.664,0.788,-1.0,-2.0,-2.0,-2.0,c3e1n1,Filler,BX229,5,5,5,,,0,2.0628,True,,,238.02966,19.17003,15:52:07.118,+19:10:12.108,circle,,magenta,BX229,2.0628,color=magenta  width=2 text={BX229} comment={2.0628},126,Q1549-BX229,1986457100.0,4.0,238.02966,19.17003,594.4136,1910.343,BX229,Q1549,24.78,0.0,0.82,yes,-1.0,-1.0,2.0628,GAL,nebz from msfr4; no UV obs,Q1549-BX229,,,,2.0628
362,237.99498,19.172918,Filler,-0.022828,0.03536,257.9984,237.96524529,19.1833875,361.7124,-321.818,2,191,139,0.735,0.612,-1.0,1.78764081,1.95243454,-2.0,c3e1n1,Filler,MD3,5,5,5,,,0,2.4998,True,,,237.93596,19.21221,15:51:44.630,+19:12:43.956,circle,,blue,MD3,2.4998,color=blue  width=2 text={MD3} comment={2.4998},131,Q1549-MD3,25056311000.0,15.0,237.93596,19.21221,1314.5786,403.5842,MD3,Q1549,24.41,0.41,1.49,yes,2.502,2.498,-1.0,GAL,nz; m1; poss add. system @z=2.351,Q1549-MD3,,,,2.498
393,237.940375,19.1980583,Contaminant,0.027038,-0.027356,257.9984,237.96524529,19.1833875,374.0938,-528.0064,3,215,72,0.266,0.364,-1.0,3.04182482,-2.0,-2.0,c3e1n1,Filler,GNB1206,5,10,1,10.0,^GNB,1,,False,,,237.940375,19.1357917,15:51:45.690,+19:08:08.850,circle,,red,GNB1206,,color=red width=2 text={GNB1206},162,,,,,,,,,,,,,,,,,,,,,,,
604,237.9907083,19.2001,Filler,0.016136,0.037721,257.9984,237.96524529,19.1833875,283.6186,-382.5581,4,111,151,0.29,0.268,-1.0,2.82785249,2.99266386,-2.0,c3e1n1,Filler,GNB4982,10,10,1,10.0,^GNB,0,,True,,,237.9912083,19.1693111,15:51:57.890,+19:10:09.520,circle,,red,GNB4982,,color=red width=2 text={GNB4982},372,,,,,,,,,,,,,,,,,,,,,,,
625,237.9759583,19.164975,Filler,-0.028438,0.008517,257.9984,237.96524529,19.1833875,418.4036,-364.1049,2,138,7,0.371,0.701,-1.0,-1.0,1.78221512,-2.0,c3e1n1,Filler,GNB5383,10,10,1,10.0,^GNB,0,,True,,,237.9855417,19.1811222,15:51:56.530,+19:10:52.040,circle,,red,GNB5383,,color=red width=2 text={GNB5383},393,,,,,,,,,,,,,,,,,,,,,,,
679,237.940375,19.1980583,Contaminant,0.027038,-0.027356,257.9984,237.96524529,19.1833875,374.0938,-528.0064,3,215,72,0.266,0.364,-1.0,3.04182482,-2.0,-2.0,c3e1n1,Filler,GNB949,5,10,1,10.0,^GNB,1,,False,,,237.9330833,19.2053861,15:51:43.940,+19:12:19.390,circle,,red,GNB949,,color=red width=2 text={GNB949},447,,,,,,,,,,,,,,,,,,,,,,,
7,237.96618,19.17811,Primary,0.025094,0.017495,257.9957,237.95708971,19.15817917,300.8761,-436.7271,4,196,51,0.669,0.881,-1.0,3.04394174,-2.0,-2.0,c4e1n1,Primary,MD12,150,150,150,,,0,2.8495,True,,,237.96618,19.17811,15:51:51.883,+19:10:41.196,circle,,red,MD12,"2.8495 LyC leaker CO detection, complex morphology","color=red  width=2 text={MD12} comment={2.8495 LyC leaker CO detection, complex morphology}",9,Q1549-MD12,3016541700.0,7.0,237.96618,19.17811,734.1341,888.5706,MD12,Q1549,24.87,0.38,1.78,yes,2.856,2.849,2.8495,GAL,also GNB 2427; double Lya (2.856/2.845);nirspec z is 2.8492,Q1549-MD12,,,,2.8495
22,237.93839,19.18475,Primary,0.041754,-0.016077,257.9957,237.95708971,19.15817917,326.47,-530.7806,3,355,127,0.412,0.794,-1.0,-2.0,-2.0,-2.0,c4e1n1,Primary,MD23,150,150,150,,,0,2.8415,True,,,237.99208,19.13646,15:51:58.099,+19:08:11.256,circle,,blue,MD23,2.8415,color=blue  width=2 text={MD23} comment={2.8415},23,Q1549-MD23,595699330.0,11.0,237.99208,19.13646,25.7215,1303.882,MD23,Q1549,24.57,0.33,1.66,yes,2.8454,-2.0,-1.0,GAL,z observed as GNB4724,Q1549-MD23,,,,2.8454
50,237.93198,19.16245,Primary,0.01281,-0.030659,257.9957,237.95708971,19.15817917,407.1118,-510.3386,3,79,56,0.741,0.119,-1.0,2.66324329,2.82726526,-2.0,c4e1n1,Primary,M2,150,150,150,,,0,2.869,True,,,237.92227,19.16832,15:51:41.345,+19:10:05.952,circle,,blue,M2,2.869,color=blue  width=2 text={M2} comment={2.869},51,Q1549-M2,590693890.0,11.0,237.92227,19.16832,569.8125,181.1238,M2,Q1549,25.03,0.64,2.06,no,2.875,2.867,-1.0,GAL,"also GNB446; nz; m6; abs z uncertain, from SiIV",Q1549-M2,,,,2.867
58,237.9582917,19.1782056,Primary,0.027374,0.007386,257.9957,237.95708971,19.15817917,313.7535,-460.2602,4,218,2,0.412,0.205,-1.0,3.09378076,-2.0,-2.0,c4e1n1,Primary,SMGL2019-27,150,150,150,,,0,2.85,True,,,237.9441667,19.220425,15:51:46.600,+19:13:13.530,point,circle,yellow,SMGL2019-27,2.85  L2019-27;SC2025/5.6sig,point=circle 16 color=yellow width=2 text={SMGL2019-27} comment={2.85  L2019-27;SC2025/5.6sig},59,,,,,,,,,,,,,,,,,,,,,,,
65,237.9369167,19.1839306,Primary,0.041019,-0.018185,257.9957,237.95708971,19.15817917,331.5002,-533.6956,3,348,117,0.419,0.434,-1.0,-2.0,-2.0,-2.0,c4e1n1,Primary,GNB5270,50,50,150,50.0,^GNB,0,2.8473,True,,,237.9890417,19.1648028,15:51:57.370,+19:09:53.290,circle,,green,GNB5270,2.8473,color=green width=2 text={GNB5270}  comment={2.8473},66,,,,,,,,,,,,,,,,,,,,,,,
67,237.9388333,19.1582139,Primary,0.005105,-0.023206,257.9957,237.95708971,19.15817917,408.9505,-482.5461,3,6,92,0.327,0.728,-1.0,2.47115254,2.63529229,-2.0,c4e1n1,Primary,GNB1062,50,50,150,50.0,^GNB,0,2.8383,True,,,237.93625,19.1458528,15:51:44.700,+19:08:45.070,circle,,green,GNB1062,2.83829,color=green width=2 text={GNB1062} comment={2.83829},68,,,,,,,,,,,,,,,,,,,,,,,
70,237.939375,19.1500056,Primary,-0.006338,-0.024853,257.9957,237.95708971,19.15817917,433.788,-466.4272,1,347,84,0.703,0.689,-1.0,2.16714787,2.33126211,-2.0,c4e1n1,Primary,GNB1104,50,50,150,50.0,^GNB,0,2.84,True,,,237.9369167,19.1839306,15:51:44.860,+19:11:02.150,circle,,green,GNB1104,2.8400,color=green width=2 text={GNB1104} comment={2.8400},71,Q1549-GNB1104,1685073200.0,0.0,237.9369602,19.1839164,834.02,418.38,GNB1104,Q1549,,,,,2.84,-1.0,,,,Q1549-GNB1104,24.78,1.69,GNB1104 24.7800 1.694 2.8400 ; NB777 25.1629 1.3325 nb830 24.6711 1.4187 2.8400,2.84
78,237.94575,19.1394472,Primary,-0.022641,-0.019743,257.9957,237.95708971,19.15817917,456.2508,-428.8702,1,192,109,0.394,0.764,-1.0,1.74405396,1.90824735,-2.0,c4e1n1,Primary,GNB1276,50,50,150,50.0,^GNB,0,2.8473,True,,,237.9402917,19.1662,15:51:45.670,+19:09:58.320,circle,,green,GNB1276,2.84726,color=green width=2 text={GNB1276} comment={2.84726},79,Q1549-GNB1276,20082045000.0,10.0,237.9403079,19.1661754,532.57,471.47,GNB1276,Q1549,,,,,2.8473,-1.0,,,,Q1549-GNB1276,25.73,2.15,,2.8473
80,237.9467917,19.16485,Primary,0.012062,-0.011194,257.9957,237.95708971,19.15817917,374.846,-470.7051,3,72,151,0.57,0.748,-1.0,2.66792488,2.83223987,-2.0,c4e1n1,Primary,GNB1330,50,50,150,50.0,^GNB,0,2.8365,True,,,237.941125,19.1625028,15:51:45.870,+19:09:45.010,circle,,green,GNB1330,2.8365,color=green width=2 text={GNB1330} comment={2.8365},81,,,,,,,,,,,,,,,,,,,,,,,
95,237.9605417,19.1743139,Primary,0.021377,0.009133,257.9957,237.95708971,19.15817917,322.1991,-446.7131,4,161,10,0.276,0.786,-1.0,2.9377048,-2.0,-2.0,c4e1n1,Primary,GNB2041,50,50,150,50.0,^GNB,0,2.8426,True,,,237.957125,19.1803139,15:51:49.710,+19:10:49.130,circle,,green,GNB2041,2.8426,color=green width=2 text={GNB2041} comment={2.8426},96,Q1549-GNB2041,6329061900.0,3.0,237.9571352,19.1803143,771.96,743.04,GNB2041,Q1549,,,,,2.8426,-1.0,,,,Q1549-GNB2041,25.2,2.37,GNB2041 25.2016 2.369 2.8426 ; NB1452 25.8216 0.4916 nb1549 24.9375 0.6155 2.8426,2.8426
98,237.9637083,19.1771556,Primary,0.024447,0.014034,257.9957,237.95708971,19.15817917,307.998,-442.3599,4,190,34,0.508,0.872,-1.0,3.02352548,-2.0,-2.0,c4e1n1,Primary,GNB2102,25,50,150,50.0,^GNB,1,2.836,False,,,237.9574583,19.2132444,15:51:49.790,+19:12:47.680,circle,,green,GNB2102,2.8360,color=green width=2 text={GNB2102} comment={2.8360},99,,,,,,,,,,,,,,,,,,,,,,,
